FID,poi_id,site_id,state_abbr,latitude,longitude,source_lay,descriptio,location_d,site_resul,investigat,notes,validation
0,1,1,AZ,33.547494,-113.641394,beacon_ksn,Searched for site at GPS location and around the base of the adjacent mountain - no findings.; Unmaintained dirt roads.,"I10 @ Exit 53, left (south) on Hovatter Rd, 1/4 mile to T in road, continue right on paved road, 1/8 mile turn left on dirt road, follow GPS behind hills, past pipe line road along fence - no findings.",Nothing Found,NFIR,nothing on aerials or topos,R
2390,3006,1,AZ,33.551167,-113.663722,beacons_kml,"LOS ANGELES PHOENIX AWY BN 27A<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DV1968</a></p>", ,Nothing Found,NFIR,nothing on aerials or topos,R
4154,4943,1,AZ,33.549652,-113.661185,Phoenix Sectional Aeronautical Chart,27A, ,Nothing Found,NFIR,"ambiguous symbol at these coordinates on 1958 topo, nothing on aerials",R
1,2,2,AZ,33.577722,-113.587944,beacon_ksn,"Possible Tank; Soft dirt roads, not far off highway.","I10 @ Exit 53, Left (south) on Hovatter Rd 1/4 mile to T in road, sharp left and follow dirt road approx. 4 miles, turn right on dirt road/stream bed approx. 1/2 mile to end of air strip, right onto strip, site is located on the left.",FST(s),NFIR, ,N
2389,3005,2,AZ,33.577556,-113.587528,beacons_kml,"SALOME FIELD AIRWAY BCN 27 B<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DV1966</a></p>", ,FST(s),NFIR,"beacon stated on 1961 topo, lines up with Zhanna point",Y
4153,4942,2,AZ,33.591905,-113.581961,Phoenix Sectional Aeronautical Chart,27B, ,FST(s),NFIR, ,N
2,3,3,AZ,33.524426,-113.400415,beacon_ksn,"Checked on top of hill at GPS location and surrounding area, no findings.; Primitive dirt roads if any, ATT access road is on private land.","I10 @ Exit 69, Cut through various farm roads heading southwest (follow GPS), will eventually intersect the ATT access road.",Nothing Found,NFIR,nothing on aerials or topos,R
2388,3004,3,AZ,33.529611,-113.421278,beacons_kml,"LOS ANGELES PHOENIX AWY BCN 28<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DV1900</a></p>", ,Nothing Found,NFIR,"nothing on aerials or topos, lines up with Zhanna point",R
4152,4941,3,AZ,33.520603,-113.415591,Phoenix Sectional Aeronautical Chart,28, ,Nothing Found,NFIR,nothing on aerials or topos,R
3,4,4,AZ,33.505095,-113.098232,beacon_ksn,"No findings. Appears that a lot of dirt was moved to construct a water shed.; Well maintained dirt roads, easily accessible fields (to follow GPS).","I10 @ Tonapah, Exit 94, West on Indian School Rd approx. 10 miles, follow GPS.",Nothing Found,NFIR, ,N
2387,3003,4,AZ,33.514944,-113.110194,beacons_kml,"LOS ANGELES PHOENIX AWY BCN 30<br />
        <p>Home page: <a href=http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=DV1888</a></p>", ,Nothing Found,NFIR,"manually moved to align with Phoenix (1958) topo, arrow visible on 1980 historicaerials.com aerial",Y
4151,4940,4,AZ,33.508984,-113.109259,Phoenix Sectional Aeronautical Chart,30, ,Nothing Found,NFIR, ,N
4,5,5,AZ,33.502528,-112.84425,beacon_ksn,"A foundation was identified 0.88 miles from given GPS location. Possible tower site, however, no other evidence was found.","I10 @ Exit 103, north on 339th approx. 2 miles, left (west) on Indian School Rd, follow GPS.",Other Evidence,NFIR, ,N
